epoch,abstain,dense50_rerank10,dense_top10,multi_query_dense_top10,multi_query_rerank10
1,0.1200,0.4500,0.0800,0.1300,0.2200
2,0.1100,0.4800,0.1300,0.1300,0.1500
3,0.1700,0.5100,0.0800,0.1200,0.1200
4,0.0600,0.6500,0.1300,0.0800,0.0800
5,0.1300,0.4900,0.1400,0.1400,0.1000
6,0.1600,0.5300,0.0900,0.1200,0.1000
7,0.1100,0.5700,0.1000,0.0800,0.1400
8,0.1000,0.5600,0.0900,0.1000,0.1500
9,0.1000,0.5100,0.1500,0.1300,0.1100
10,0.1200,0.5600,0.1300,0.1200,0.0700
11,0.1600,0.4700,0.0900,0.1400,0.1400
12,0.1400,0.5300,0.1300,0.1200,0.0800
13,0.2000,0.5700,0.0900,0.0800,0.0600
14,0.0500,0.6700,0.0800,0.0800,0.1200
15,0.0900,0.6100,0.1100,0.0800,0.1100
16,0.1300,0.6200,0.0900,0.0400,0.1200
17,0.0900,0.6600,0.0900,0.1000,0.0600
18,0.0900,0.5900,0.0900,0.1000,0.1300
19,0.1200,0.6400,0.0700,0.1000,0.0700
20,0.1000,0.5600,0.1300,0.0800,0.1300
21,0.1400,0.6300,0.1100,0.0700,0.0500
22,0.1100,0.5800,0.1200,0.1400,0.0500
23,0.0800,0.5500,0.1500,0.1400,0.0800
24,0.1200,0.6000,0.1100,0.0800,0.0900
25,0.0500,0.6400,0.1000,0.0900,0.1200
26,0.0900,0.6800,0.0600,0.1300,0.0400
27,0.1000,0.6400,0.0600,0.0800,0.1200
28,0.0900,0.6800,0.0400,0.0700,0.1200
29,0.1400,0.6100,0.0400,0.1000,0.1100
30,0.0600,0.7200,0.0700,0.0900,0.0600
31,0.0700,0.7100,0.0900,0.0500,0.0800
32,0.0900,0.6800,0.0800,0.0700,0.0800
33,0.1100,0.6400,0.0800,0.0800,0.0900
34,0.0500,0.7500,0.1100,0.0400,0.0500
35,0.0700,0.6800,0.0600,0.1000,0.0900
36,0.1000,0.6800,0.1400,0.0300,0.0500
37,0.1000,0.6600,0.0700,0.1000,0.0700
38,0.0800,0.7400,0.0500,0.0300,0.1000
39,0.0500,0.7400,0.1000,0.0600,0.0500
40,0.0400,0.6900,0.0700,0.1300,0.0700
41,0.0900,0.6800,0.0600,0.0700,0.1000
42,0.0400,0.7500,0.0800,0.0700,0.0600
43,0.0800,0.7900,0.0600,0.0400,0.0300
44,0.0200,0.8000,0.0500,0.0900,0.0400
45,0.0300,0.7300,0.0700,0.1300,0.0400
46,0.0300,0.7900,0.0900,0.0300,0.0600
47,0.0800,0.7700,0.0200,0.0800,0.0500
48,0.0500,0.8300,0.0500,0.0300,0.0400
49,0.0700,0.7700,0.0700,0.0600,0.0300
50,0.0400,0.7600,0.0300,0.1200,0.0500
51,0.0600,0.7400,0.0700,0.0700,0.0600
52,0.0700,0.7700,0.0400,0.0700,0.0500
53,0.0300,0.7800,0.0900,0.0500,0.0500
54,0.0800,0.7900,0.0500,0.0300,0.0500
55,0.0400,0.8400,0.0300,0.0500,0.0400
56,0.0300,0.8800,0.0300,0.0200,0.0400
57,0.0200,0.8500,0.0200,0.0600,0.0500
58,0.0100,0.8400,0.0900,0.0200,0.0400
59,0.0800,0.8100,0.0200,0.0300,0.0600
60,0.0600,0.8200,0.0400,0.0100,0.0700
61,0.0500,0.8300,0.0400,0.0200,0.0600
62,0.0500,0.8600,0.0100,0.0300,0.0500
63,0.0700,0.7700,0.0400,0.0300,0.0900
64,0.0500,0.7900,0.0400,0.0900,0.0300
65,0.0200,0.9300,0.0200,0.0200,0.0100
66,0.0300,0.8800,0.0600,0.0300,0.0000
67,0.0400,0.8700,0.0300,0.0400,0.0200
68,0.0100,0.9100,0.0400,0.0200,0.0200
69,0.0300,0.8900,0.0000,0.0300,0.0500
70,0.0300,0.9100,0.0300,0.0100,0.0200
71,0.0200,0.9000,0.0700,0.0000,0.0100
72,0.0200,0.8800,0.0300,0.0500,0.0200
73,0.0300,0.8800,0.0200,0.0300,0.0400
74,0.0300,0.9100,0.0200,0.0200,0.0200
75,0.0200,0.9600,0.0000,0.0100,0.0100
76,0.0300,0.9200,0.0100,0.0100,0.0300
77,0.0300,0.9200,0.0000,0.0300,0.0200
78,0.0300,0.9300,0.0300,0.0100,0.0000
79,0.0100,0.9500,0.0200,0.0200,0.0000
80,0.0100,0.9600,0.0300,0.0000,0.0000
