epoch,epsilon,mean_reward,value_abstain,value_dense50_rerank10,value_dense_top10,value_multi_query_dense_top10,value_multi_query_rerank10
1,0.6000,0.4640,-0.0500,0.7000,0.4000,0.1000,0.5000
2,0.5930,0.4705,-0.0500,0.7000,0.4000,0.1000,0.5000
3,0.5861,0.4525,-0.0500,0.7000,0.4000,0.1000,0.5000
4,0.5791,0.5520,-0.0500,0.7000,0.4000,0.1000,0.5000
5,0.5722,0.4565,-0.0500,0.7000,0.4000,0.1000,0.5000
6,0.5652,0.4610,-0.0500,0.7000,0.4000,0.1000,0.5000
7,0.5582,0.5115,-0.0500,0.7000,0.4000,0.1000,0.5000
8,0.5513,0.5080,-0.0500,0.7000,0.4000,0.1000,0.5000
9,0.5443,0.4800,-0.0500,0.7000,0.4000,0.1000,0.5000
10,0.5373,0.4850,-0.0500,0.7000,0.4000,0.1000,0.5000
11,0.5304,0.4410,-0.0500,0.7000,0.4000,0.1000,0.5000
12,0.5234,0.4680,-0.0500,0.7000,0.4000,0.1000,0.5000
13,0.5165,0.4630,-0.0500,0.7000,0.4000,0.1000,0.5000
14,0.5095,0.5665,-0.0500,0.7000,0.4000,0.1000,0.5000
15,0.5025,0.5295,-0.0500,0.7000,0.4000,0.1000,0.5000
16,0.4956,0.5275,-0.0500,0.7000,0.4000,0.1000,0.5000
17,0.4886,0.5335,-0.0500,0.7000,0.4000,0.1000,0.5000
18,0.4816,0.5195,-0.0500,0.7000,0.4000,0.1000,0.5000
19,0.4747,0.5150,-0.0500,0.7000,0.4000,0.1000,0.5000
20,0.4677,0.5120,-0.0500,0.7000,0.4000,0.1000,0.5000
21,0.4608,0.5100,-0.0500,0.7000,0.4000,0.1000,0.5000
22,0.4538,0.4875,-0.0500,0.7000,0.4000,0.1000,0.5000
23,0.4468,0.4950,-0.0500,0.7000,0.4000,0.1000,0.5000
24,0.4399,0.5110,-0.0500,0.7000,0.4000,0.1000,0.5000
25,0.4329,0.5545,-0.0500,0.7000,0.4000,0.1000,0.5000
26,0.4259,0.5285,-0.0500,0.7000,0.4000,0.1000,0.5000
27,0.4190,0.5350,-0.0500,0.7000,0.4000,0.1000,0.5000
28,0.4120,0.5545,-0.0500,0.7000,0.4000,0.1000,0.5000
29,0.4051,0.5010,-0.0500,0.7000,0.4000,0.1000,0.5000
30,0.3981,0.5680,-0.0500,0.7000,0.4000,0.1000,0.5000
31,0.3911,0.5745,-0.0500,0.7000,0.4000,0.1000,0.5000
32,0.3842,0.5505,-0.0500,0.7000,0.4000,0.1000,0.5000
33,0.3772,0.5275,-0.0500,0.7000,0.4000,0.1000,0.5000
34,0.3703,0.5955,-0.0500,0.7000,0.4000,0.1000,0.5000
35,0.3633,0.5515,-0.0500,0.7000,0.4000,0.1000,0.5000
36,0.3563,0.5550,-0.0500,0.7000,0.4000,0.1000,0.5000
37,0.3494,0.5300,-0.0500,0.7000,0.4000,0.1000,0.5000
38,0.3424,0.5870,-0.0500,0.7000,0.4000,0.1000,0.5000
39,0.3354,0.5865,-0.0500,0.7000,0.4000,0.1000,0.5000
40,0.3285,0.5570,-0.0500,0.7000,0.4000,0.1000,0.5000
41,0.3215,0.5525,-0.0500,0.7000,0.4000,0.1000,0.5000
42,0.3146,0.5920,-0.0500,0.7000,0.4000,0.1000,0.5000
43,0.3076,0.5920,-0.0500,0.7000,0.4000,0.1000,0.5000
44,0.3006,0.6080,-0.0500,0.7000,0.4000,0.1000,0.5000
45,0.2937,0.5705,-0.0500,0.7000,0.4000,0.1000,0.5000
46,0.2867,0.6205,-0.0500,0.7000,0.4000,0.1000,0.5000
47,0.2797,0.5760,-0.0500,0.7000,0.4000,0.1000,0.5000
48,0.2728,0.6215,-0.0500,0.7000,0.4000,0.1000,0.5000
49,0.2658,0.5845,-0.0500,0.7000,0.4000,0.1000,0.5000
50,0.2589,0.5790,-0.0500,0.7000,0.4000,0.1000,0.5000
51,0.2519,0.5800,-0.0500,0.7000,0.4000,0.1000,0.5000
52,0.2449,0.5835,-0.0500,0.7000,0.4000,0.1000,0.5000
53,0.2380,0.6105,-0.0500,0.7000,0.4000,0.1000,0.5000
54,0.2310,0.5970,-0.0500,0.7000,0.4000,0.1000,0.5000
55,0.2241,0.6230,-0.0500,0.7000,0.4000,0.1000,0.5000
56,0.2171,0.6485,-0.0500,0.7000,0.4000,0.1000,0.5000
57,0.2101,0.6330,-0.0500,0.7000,0.4000,0.1000,0.5000
58,0.2032,0.6455,-0.0500,0.7000,0.4000,0.1000,0.5000
59,0.1962,0.6040,-0.0500,0.7000,0.4000,0.1000,0.5000
60,0.1892,0.6230,-0.0500,0.7000,0.4000,0.1000,0.5000
61,0.1823,0.6265,-0.0500,0.7000,0.4000,0.1000,0.5000
62,0.1753,0.6315,-0.0500,0.7000,0.4000,0.1000,0.5000
63,0.1684,0.5995,-0.0500,0.7000,0.4000,0.1000,0.5000
64,0.1614,0.5905,-0.0500,0.7000,0.4000,0.1000,0.5000
65,0.1544,0.6650,-0.0500,0.7000,0.4000,0.1000,0.5000
66,0.1475,0.6415,-0.0500,0.7000,0.4000,0.1000,0.5000
67,0.1405,0.6330,-0.0500,0.7000,0.4000,0.1000,0.5000
68,0.1335,0.6645,-0.0500,0.7000,0.4000,0.1000,0.5000
69,0.1266,0.6495,-0.0500,0.7000,0.4000,0.1000,0.5000
70,0.1196,0.6585,-0.0500,0.7000,0.4000,0.1000,0.5000
71,0.1127,0.6620,-0.0500,0.7000,0.4000,0.1000,0.5000
72,0.1057,0.6420,-0.0500,0.7000,0.4000,0.1000,0.5000
73,0.0987,0.6455,-0.0500,0.7000,0.4000,0.1000,0.5000
74,0.0918,0.6555,-0.0500,0.7000,0.4000,0.1000,0.5000
75,0.0848,0.6770,-0.0500,0.7000,0.4000,0.1000,0.5000
76,0.0778,0.6625,-0.0500,0.7000,0.4000,0.1000,0.5000
77,0.0709,0.6555,-0.0500,0.7000,0.4000,0.1000,0.5000
78,0.0639,0.6625,-0.0500,0.7000,0.4000,0.1000,0.5000
79,0.0570,0.6745,-0.0500,0.7000,0.4000,0.1000,0.5000
80,0.0500,0.6835,-0.0500,0.7000,0.4000,0.1000,0.5000
